,index,coordinates,codeInsee,nom,adresse_ligne01,adresse_ligne02,adresse_ligne03,adresse_code_postal,adresse_commune,adresse_coordonnees,telephone,e_mail,url,zonage_commune
1123,permanence_juridique-10140-01,"[3.910073, 48.040826]",10140,Point-justice - Point d'accès au droit de la Communauté de communes du Val d'Armance,Bvd Belgrand,,,10130,ERVY LE CHATEL,"[3.910073, 48.040826]",03 25 70 63 34,,,['10140 Ervy-le-Châtel']
1124,permanence_juridique-10426-01,"[4.789469, 48.119972]",10426,Point-justice - Point d'accès au droit de la Mairie de Ville-sous-la-Ferté,14 route de Dijon,,,10310,VILLE SOUS LA FERTE,"[4.789469, 48.119972]",03 25 27 81 05,,,['10426 Ville-sous-la-Ferté']
1125,permanence_juridique-10035-01,"[4.787962, 48.190405]",10035,Point-justice - Point d'accès au droit de la Marie de Bayel,place de la Mairie,,,10310,BAYEL,"[4.787962, 48.190405]",03 25 92 05 14,,,['10035 Bayel']
1126,permanence_juridique-10268-01,"[3.499059, 48.493607]",10268,Point-justice - Point d'accès au droit de la Mairie de Nogent-sur-Seine,27 Gde rue St Laurent,,,10400,NOGENT SUR SEINE,"[3.499059, 48.493607]",03 25 39 42 00,,,['10268 Nogent-sur-Seine']
1127,permanence_juridique-10199-01,"[4.485117, 48.044573]",10199,Point-justice - Point d'accès au droit de la Mairie de Loches-sur-Ource,place de la Mairie,,,10110,LOCHES SUR OURCE,"[4.485117, 48.044573]",03 25 29 62 30,,,['10199 Loches-sur-Ource']
1128,permanence_juridique-10115-01,"[4.127431, 48.332744]",10115,Point-justice - Point d'accès au droit de la Mairie de Creney-près-Troyes,24 rue de la République,,,10150,CRENEY PRES TROYES,"[4.127431, 48.332744]",03 25 81 82 60,,,['10115 Creney-près-Troyes']
1129,permanence_juridique-10382-01,"[3.439138, 48.41593]",10382,Point-justice - Point d'accès au droit de la Mairie de Trainel,31 rue St Antoine,,,10400,TRAINEL,"[3.439138, 48.41593]",03 25 39 10 23,,,['10382 Traînel']
1130,permanence_juridique-10325-01,"[4.064501, 48.257273]",10325,Point-justice - Point d'accès au droit de la Mairie de Rosières-Près-Troyes,place Charles de Gaulle,,,10430,ROSIERES PRES TROYES,"[4.064501, 48.257273]",03 25 82 48 00,,,['10325 Rosières-près-Troyes']
1131,permanence_juridique-10084-01,"[4.172044, 48.40903]",10084,Point-justice - Point d'accès au droit de la Mairie de Charmont-sous-Barbuise,3 rue du Château,,,10150,CHARMONT SOUS BARBUISE,"[4.172044, 48.40903]",03 25 41 00 49,,,['10084 Charmont-sous-Barbuise']
1132,permanence_juridique-10211-01,"[3.915034, 48.293018]",10211,Point-justice - Point d'accès au droit de la Mairie de Macey,3 rue René Cassin,,,10300,MACEY,"[3.915034, 48.293018]",03 25 70 32 77,,,['10211 Macey']
1133,permanence_juridique-10381-01,"[3.975828, 48.274662]",10381,Point-justice - Point d'accès au droit de la Mairie de Torvillies,19 rue de la Mairie,,,10440,TORVILLIERS,"[3.975828, 48.274662]",03 25 79 38 89,,,['10381 Torvilliers']
1134,permanence_juridique-10080-01,"[4.138394, 48.059493]",10080,Point-justice - France services,19 rue Roises,,,10210,CHAOURCE,"[4.138394, 48.059493]",03 25 40 16 91,,,['10080 Chaource']
1135,permanence_juridique-10052-01,"[3.913414, 48.579297]",10052,Point-justice - Point d'accès au droit de la Mairie de Boulages,4 rue de l'Eglise,,,10380,BOULAGES,"[3.913414, 48.579297]",03 25 37 45 67,,,['10052 Boulages']
1136,permanence_juridique-10151-01,"[3.910954, 48.424336]",10151,Point-justice - Point d'accès au droit de la Mairie de Fontaines-les-Grès,46 Bvd Doré,,,10280,FONTAINE LES GRES,"[3.910954, 48.424336]",03 25 70 23 18,,,['10151 Fontaine-les-Grès']
1137,permanence_juridique-10034-01,"[4.373443, 48.11426]",10034,Point-justice - Point d'accès au droit de la Mairie de Bar-sur-Seine,132 Gde rue de la Résistance,,,10110,BAR SUR SEINE,"[4.373443, 48.11426]",03 25 29 80 35,,,['10034 Bar-sur-Seine']
1138,permanence_juridique-10209-01,"[4.267031, 48.254518]",10209,Point-justice - France services,14 rue Louis Genevois,,,10270,LUSIGNY SUR BARSE,"[4.267031, 48.254518]",03 10 72 12 07,,,['10209 Lusigny-sur-Barse']
1139,permanence_juridique-10064-01,"[4.526496, 48.393086]",10064,Point-justice - Point d'accès au droit de la Mairie de Brienne-le-Château,place de l'Hôtel de Ville,,,10500,BRIENNE LE CHATEAU,"[4.526496, 48.393086]",03 25 92 80 31,,,['10064 Brienne-le-Château']
1140,permanence_juridique-10420-01,"[3.553104, 48.589651]",10420,Point-justice - Point d'accès au droit de la Mairie de Villenauxe-la-Grande,1 place Georges Clémenceau,,,10370,VILLENAUXE LA GRANDE,"[3.553104, 48.589651]",03 25 21 32 22,,,['10420 Villenauxe-la-Grande']
1141,permanence_juridique-10349-01,"[4.00465, 48.361778]",10349,Point-justice - France services,1 rue Henri Rodin,,,10180,ST LYE,"[4.00465, 48.361778]",09 62 63 75 48,,,['10349 Saint-Lyé']
1142,permanence_juridique-10178-01,"[4.577705, 48.296913]",10178,Point-justice - Point d'accès au droit de la Mairie de Jessains,2 rue St Nicolas,,,10140,JESSAINS,"[4.577705, 48.296913]",03 25 92 72 06,,,['10178 Jessains']
1143,permanence_juridique-10363-01,"[4.138148, 48.206255]",10363,Point-justice - Point d'accès au droit de la Mairie de Saint-Thibault,9 rue de l'Eglise,,,10800,ST THIBAULT,"[4.138148, 48.206255]",03 25 41 80 69,,,['10363 Saint-Thibault']
